model,model_weights,model_source,dataset(subset),std_output_path,embedding_path
regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_fgvc-aircraft(0).pt
resnet18,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/resnet18_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/resnet18_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
ViT-B/32,DEFAULT,clip,fgvc-aircraft(0),./dataStorage/model_output/std_output/ViT-B-32_DEFAULT_clip_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/ViT-B-32_DEFAULT_clip_fgvc-aircraft(0).pt
ViT-B/16,DEFAULT,clip,fgvc-aircraft(0),./dataStorage/model_output/std_output/ViT-B-16_DEFAULT_clip_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/ViT-B-16_DEFAULT_clip_fgvc-aircraft(0).pt
ViT-L/14,DEFAULT,clip,fgvc-aircraft(0),./dataStorage/model_output/std_output/ViT-L-14_DEFAULT_clip_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/ViT-L-14_DEFAULT_clip_fgvc-aircraft(0).pt
ViT-B-32-256,DEFAULT,open_clip,fgvc-aircraft(0),./dataStorage/model_output/std_output/ViT-B-32-256_DEFAULT_open_clip_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/ViT-B-32-256_DEFAULT_open_clip_fgvc-aircraft(0).pt
ViT-B-16,DEFAULT,open_clip,fgvc-aircraft(0),./dataStorage/model_output/std_output/ViT-B-16_DEFAULT_open_clip_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/ViT-B-16_DEFAULT_open_clip_fgvc-aircraft(0).pt
ViT-L-14,DEFAULT,open_clip,fgvc-aircraft(0),./dataStorage/model_output/std_output/ViT-L-14_DEFAULT_open_clip_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/ViT-L-14_DEFAULT_open_clip_fgvc-aircraft(0).pt
resnet50,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/resnet50_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/resnet50_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
resnet152,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/resnet152_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/resnet152_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
regnet_y_16gf,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
regnet_y_16gf,IMAGENET1K_V2,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V2_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V2_torchvision_fgvc-aircraft(0).pt
regnet_y_32gf,IMAGENET1K_V2,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/regnet_y_32gf_IMAGENET1K_V2_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/regnet_y_32gf_IMAGENET1K_V2_torchvision_fgvc-aircraft(0).pt
vit_b_16,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
vit_b_16,IMAGENET1K_SWAG_E2E_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_fgvc-aircraft(0).pt
vit_l_16,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/vit_l_16_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/vit_l_16_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
vit_h_14,IMAGENET1K_SWAG_E2E_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/vit_h_14_IMAGENET1K_SWAG_E2E_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/vit_h_14_IMAGENET1K_SWAG_E2E_V1_torchvision_fgvc-aircraft(0).pt
maxvit_t,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/maxvit_t_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/maxvit_t_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
convnext_tiny,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/convnext_tiny_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/convnext_tiny_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
convnext_base,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/convnext_base_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/convnext_base_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
swin_t,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/swin_t_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/swin_t_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
swin_v2_t,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/swin_v2_t_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/swin_v2_t_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
efficientnet_b0,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/efficientnet_b0_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/efficientnet_b0_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
efficientnet_b4,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/efficientnet_b4_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/efficientnet_b4_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
efficientnet_b7,IMAGENET1K_V1,torchvision,fgvc-aircraft(0),./dataStorage/model_output/std_output/efficientnet_b7_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/efficientnet_b7_IMAGENET1K_V1_torchvision_fgvc-aircraft(0).pt
facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,timm-mini-imagenet(0),./dataStorage/model_output/std_output/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_timm-mini-imagenet(0).pt
facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,huggingface,timm-mini-imagenet(0),./dataStorage/model_output/std_output/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_timm-mini-imagenet(0).pt
facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,imagenet-sketch(0),./dataStorage/model_output/std_output/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-sketch(0).pt
facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,huggingface,imagenet-sketch(0),./dataStorage/model_output/std_output/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-sketch(0).pt
facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,cifar10(0),./dataStorage/model_output/std_output/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_cifar10(0).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_cifar10(0).pt
facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,huggingface,cifar10(0),./dataStorage/model_output/std_output/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_cifar10(0).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_cifar10(0).pt
facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,cifar100(0),./dataStorage/model_output/std_output/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_cifar100(0).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_cifar100(0).pt
facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,huggingface,cifar100(0),./dataStorage/model_output/std_output/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_cifar100(0).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_cifar100(0).pt
facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,fgvc-aircraft(0),./dataStorage/model_output/std_output/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_fgvc-aircraft(0).pt
facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,huggingface,fgvc-aircraft(0),./dataStorage/model_output/std_output/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_fgvc-aircraft(0).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_fgvc-aircraft(0).pt
facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,imagenet-sketch(1),./dataStorage/model_output/std_output/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-sketch(1).pt
facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,huggingface,imagenet-sketch(1),./dataStorage/model_output/std_output/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-sketch(1).pt
ViT-B/32,DEFAULT,clip,imagenet-sketch(1),./dataStorage/model_output/std_output/ViT-B-32_DEFAULT_clip_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/ViT-B-32_DEFAULT_clip_imagenet-sketch(1).pt
ViT-B/16,DEFAULT,clip,imagenet-sketch(1),./dataStorage/model_output/std_output/ViT-B-16_DEFAULT_clip_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/ViT-B-16_DEFAULT_clip_imagenet-sketch(1).pt
ViT-L/14,DEFAULT,clip,imagenet-sketch(1),./dataStorage/model_output/std_output/ViT-L-14_DEFAULT_clip_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/ViT-L-14_DEFAULT_clip_imagenet-sketch(1).pt
ViT-B-32-256,DEFAULT,open_clip,imagenet-sketch(1),./dataStorage/model_output/std_output/ViT-B-32-256_DEFAULT_open_clip_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/ViT-B-32-256_DEFAULT_open_clip_imagenet-sketch(1).pt
ViT-B-16,DEFAULT,open_clip,imagenet-sketch(1),./dataStorage/model_output/std_output/ViT-B-16_DEFAULT_open_clip_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/ViT-B-16_DEFAULT_open_clip_imagenet-sketch(1).pt
ViT-L-14,DEFAULT,open_clip,imagenet-sketch(1),./dataStorage/model_output/std_output/ViT-L-14_DEFAULT_open_clip_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/ViT-L-14_DEFAULT_open_clip_imagenet-sketch(1).pt
resnet18,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/resnet18_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/resnet18_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
resnet50,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/resnet50_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/resnet50_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
resnet152,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/resnet152_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/resnet152_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
regnet_y_16gf,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
regnet_y_16gf,IMAGENET1K_V2,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V2_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V2_torchvision_imagenet-sketch(1).pt
regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-sketch(1).pt
regnet_y_32gf,IMAGENET1K_V2,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/regnet_y_32gf_IMAGENET1K_V2_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/regnet_y_32gf_IMAGENET1K_V2_torchvision_imagenet-sketch(1).pt
vit_b_16,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
vit_b_16,IMAGENET1K_SWAG_E2E_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-sketch(1).pt
vit_l_16,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/vit_l_16_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/vit_l_16_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_ILSVRC-imagenet-1k(0).pt
facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,huggingface,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_ILSVRC-imagenet-1k(0).pt
ViT-B/32,DEFAULT,clip,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/ViT-B-32_DEFAULT_clip_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/ViT-B-32_DEFAULT_clip_ILSVRC-imagenet-1k(0).pt
ViT-B/16,DEFAULT,clip,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/ViT-B-16_DEFAULT_clip_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/ViT-B-16_DEFAULT_clip_ILSVRC-imagenet-1k(0).pt
ViT-L/14,DEFAULT,clip,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/ViT-L-14_DEFAULT_clip_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/ViT-L-14_DEFAULT_clip_ILSVRC-imagenet-1k(0).pt
ViT-B-32-256,DEFAULT,open_clip,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/ViT-B-32-256_DEFAULT_open_clip_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/ViT-B-32-256_DEFAULT_open_clip_ILSVRC-imagenet-1k(0).pt
ViT-B-16,DEFAULT,open_clip,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/ViT-B-16_DEFAULT_open_clip_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/ViT-B-16_DEFAULT_open_clip_ILSVRC-imagenet-1k(0).pt
ViT-L-14,DEFAULT,open_clip,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/ViT-L-14_DEFAULT_open_clip_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/ViT-L-14_DEFAULT_open_clip_ILSVRC-imagenet-1k(0).pt
resnet18,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/resnet18_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/resnet18_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
resnet50,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/resnet50_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/resnet50_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
resnet152,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/resnet152_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/resnet152_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
regnet_y_16gf,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
regnet_y_16gf,IMAGENET1K_V2,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V2_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V2_torchvision_ILSVRC-imagenet-1k(0).pt
regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_ILSVRC-imagenet-1k(0).pt
regnet_y_32gf,IMAGENET1K_V2,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/regnet_y_32gf_IMAGENET1K_V2_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/regnet_y_32gf_IMAGENET1K_V2_torchvision_ILSVRC-imagenet-1k(0).pt
vit_b_16,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
vit_b_16,IMAGENET1K_SWAG_E2E_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_ILSVRC-imagenet-1k(0).pt
vit_l_16,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/vit_l_16_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/vit_l_16_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
maxvit_t,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/maxvit_t_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/maxvit_t_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
convnext_tiny,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/convnext_tiny_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/convnext_tiny_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
convnext_base,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/convnext_base_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/convnext_base_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
swin_t,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/swin_t_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/swin_t_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
swin_v2_t,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/swin_v2_t_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/swin_v2_t_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
efficientnet_b0,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/efficientnet_b0_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/efficientnet_b0_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
efficientnet_b4,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/efficientnet_b4_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/efficientnet_b4_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
efficientnet_b7,IMAGENET1K_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/efficientnet_b7_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/efficientnet_b7_IMAGENET1K_V1_torchvision_ILSVRC-imagenet-1k(0).pt
maxvit_t,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/maxvit_t_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/maxvit_t_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
convnext_tiny,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/convnext_tiny_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/convnext_tiny_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
convnext_base,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/convnext_base_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/convnext_base_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
swin_t,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/swin_t_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/swin_t_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
swin_v2_t,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/swin_v2_t_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/swin_v2_t_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
efficientnet_b0,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/efficientnet_b0_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/efficientnet_b0_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
efficientnet_b4,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/efficientnet_b4_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/efficientnet_b4_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
efficientnet_b7,IMAGENET1K_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/efficientnet_b7_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/efficientnet_b7_IMAGENET1K_V1_torchvision_imagenet-sketch(1).pt
vit_h_14,IMAGENET1K_SWAG_E2E_V1,torchvision,ILSVRC-imagenet-1k(0),./dataStorage/model_output/std_output/vit_h_14_IMAGENET1K_SWAG_E2E_V1_torchvision_ILSVRC-imagenet-1k(0).pt,./dataStorage/model_output/embedding/vit_h_14_IMAGENET1K_SWAG_E2E_V1_torchvision_ILSVRC-imagenet-1k(0).pt
vit_h_14,IMAGENET1K_SWAG_E2E_V1,torchvision,imagenet-sketch(1),./dataStorage/model_output/std_output/vit_h_14_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-sketch(1).pt,./dataStorage/model_output/embedding/vit_h_14_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-sketch(1).pt
resnet18,IMAGENET1K_V1,torchvision,imagenet-c-jpeg_compression-5(0),./dataStorage/model_output/std_output/resnet18_IMAGENET1K_V1_torchvision_imagenet-c-jpeg_compression-5(0).pt,./dataStorage/model_output/embedding/resnet18_IMAGENET1K_V1_torchvision_imagenet-c-jpeg_compression-5(0).pt
